local date,local time,city,lat,lon,aqi,h,p,pm10,pm25,so2,t,w,wg,co,no2,o3,dew
2020-03-17,23:00:00,"Moggio , Lombardia, Italy",45.91279097,9.49754261,76,70.8,1025.1,23.0,76.0,,7.2,0.8,3.8,,7.8,42.3,
2020-03-17,23:00:00,"Arenula, Roma, Lazio, Italy",41.8932669,12.4753855,50,45.5,1021.6,29.0,50.0,,20.0,1.5,5.0,,12.8,17.5,
2020-03-17,23:00:00,"Ferentino, Frosinone, Lazio, Italy",41.6956788,13.2577285,80,56.0,1015.7,30.0,80.0,0.7,14.4,1.0,5.0,0.1,6.4,28.1,
2020-03-17,23:00:00,"Giordani-farnese, Emilia Romagna, Italy",45.04884,9.693265,37,52.0,1029.0,37.0,55.0,,15.5,1.0,3.0,0.1,38.0,35.8,
2020-03-17,23:00:00,"Pordenone Centro, Pordenone, Friuli Venezia Giulia, Italy",45.962624,12.655944,78,43.0,1030.3,30.0,78.0,,18.1,1.0,3.5,,,,
2020-03-19,07:00:00,"Portici parco reggia, Portici, Campania, Italy",40.81588,14.34927,6,73.0,1025.0,28.0,54.0,,10.0,1.5,11.3,,27.5,6.3,5.5
2020-03-17,23:00:00,"Lingotto, Torino, Piemonte, Italy",45.0314278,7.6517438,87,72.0,1023.6,,87.0,,9.4,0.2,0.7,,,,
2020-03-17,23:00:00,"Molli, Borgomanero, Piemonte, Italy",45.6989656,8.4606044,61,63.0,1026.1,,61.0,,10.6,1.6,7.0,0.1,,,
2020-03-17,23:00:00,"Cornale , Lombardia, Italy",45.04008561,8.91415717,76,7.0,,,76.0,,8.3,1.1,1.5,0.1,11.9,38.2,
2020-03-17,23:00:00,"Guidonia, Roma, Lazio, Italy",41.9939694,12.7245045,72,56.0,1022.2,26.0,72.0,0.5,17.2,,,,11.0,19.9,
2020-03-17,23:00:00,"Lecco Via Sora, Lombardia, Italy",45.86375372,9.39995481,72,70.8,1025.1,24.0,72.0,,7.2,0.8,3.8,,15.6,38.2,
2020-03-17,23:00:00,"Cappiello, Livorno, Italy",43.517506738783,10.321031260215,42,84.5,1028.0,15.0,42.0,,11.0,2.5,,0.1,23.4,28.9,8.5
2020-03-17,23:00:00,"Cento, Emilia Romagna, Italy",44.733011,11.299659,41,73.0,1027.2,27.0,42.0,,12.7,2.0,2.0,0.1,17.4,40.7,
2020-03-17,23:00:00,"Poggibonsi, Poggibonsi, Italy",43.470437486833,11.141284549758,59,22.3,1024.4,20.0,59.0,,22.4,2.0,4.3,,12.4,,
2020-03-19,07:00:00,"Benevento Campo Sportivo, Benevento, Campania, Italy",41.11575,14.77998,4,57.0,1025.3,15.0,13.0,,13.3,0.5,3.5,,5.3,3.5,
2020-03-17,23:00:00,"Varese Copelli, Lombardia, Italy",45.8169745,8.82024911,74,58.0,1028.9,25.0,74.0,,9.8,4.1,4.6,0.1,26.1,,
2020-03-15,23:00:00,"Schivenoglia , Lombardia, Italy",45.01688067,11.07609728,-,85.6,1025.5,15.0,46.0,1.1,7.2,2.5,4.9,0.1,4.6,39.0,
2020-03-17,23:00:00,"Besenzone, Emilia Romagna, Italy",44.9895,10.019201,99,52.0,1029.0,32.0,99.0,5.1,15.5,1.0,3.0,0.1,16.5,35.8,
2020-03-17,23:00:00,"Saragat, Emilia Romagna, Italy",44.925963,10.371914,78,67.0,1030.0,29.0,78.0,5.1,13.3,1.0,3.0,,17.0,30.5,
2020-03-17,23:00:00,"Porto San Vitale, Emilia Romagna, Italy",44.443746,12.253247,78,74.0,1030.2,39.0,78.0,5.1,11.6,1.0,7.0,0.1,25.6,28.5,
2020-03-19,07:00:00,"Istituto Manzoni, Caserta, Campania, Italy",41.08444,14.34472,54,45.7,1017.6,17.0,54.0,,12.5,2.5,,,6.8,36.6,1.1
2020-03-17,23:00:00,"Alpini, Cuneo, Piemonte, Italy",44.3703176,7.5251893,65,62.0,1024.9,,65.0,,5.0,1.0,0.5,0.1,,,
2020-03-19,06:00:00,"Museo Nazionale, Napoli, Campania, Italy",40.85419,14.25133,65,49.5,1025.4,22.0,65.0,,14.1,2.0,,6.4,33.6,,
2020-03-17,23:00:00,"Casirate d`Adda , Lombardia, Italy",45.49822794,9.55624181,97,75.0,1026.0,36.0,97.0,,8.0,1.8,,,26.1,40.7,4.0
2020-03-17,23:00:00,"San Francesco, Emilia Romagna, Italy",44.542152405,10.819877625,33,51.5,1025.5,33.0,55.0,,12.5,3.0,4.5,,33.9,33.8,
2020-03-17,23:00:00,"Spinadesco , Lombardia, Italy",45.15047339,9.93059842,95,79.1,1023.5,38.0,95.0,,7.5,2.2,1.8,,28.8,39.8,
2020-03-17,23:00:00,"Darfo , Lombardia, Italy",45.87460256,10.17736553,104,73.8,1025.8,34.0,104.0,,8.5,1.3,4.1,,27.5,39.4,
2020-03-17,23:00:00,"Acquapendente, Viterbo, Lazio, Italy",42.7477229,11.8630202,59,60.5,1025.1,17.0,59.0,0.8,14.4,3.6,5.7,0.1,2.3,26.0,
2020-03-19,07:00:00,"San Vitaliano Scuola Elementare Marconi, San Vitaliano, Campania, Italy",40.92431,14.48133,3,57.0,1025.3,54.0,94.0,2.7,13.3,0.5,3.5,,18.2,0.9,
2020-03-17,23:00:00,"Sesto San Giovanni , Lombardia, Italy",45.53476819,9.23610903,104,67.2,1024.4,,104.0,,10.2,,,,16.5,,
2020-03-17,23:00:00,"Gavello, Emilia Romagna, Italy",44.928769,11.178946,85,67.0,1029.8,35.0,85.0,,13.8,1.0,4.0,0.1,7.8,36.6,
2020-03-17,23:00:00,"Leonessa, Rieti, Lazio, Italy",42.5660721,12.962445,55,43.0,1019.3,15.0,55.0,0.2,14.1,3.5,5.5,0.1,3.2,30.9,
2020-03-17,23:00:00,"Lodi S. Alberto, Lombardia, Italy",45.30278678,9.49528589,102,86.8,1023.8,40.0,102.0,,8.4,0.1,0.1,,23.8,38.6,
2020-03-17,23:00:00,"Francia, Roma, Lazio, Italy",41.9644063,12.6684397,68,79.0,1025.2,28.0,68.0,0.5,10.5,3.0,4.0,,12.4,16.7,
2020-03-17,23:00:00,"Remesina, Emilia Romagna, Italy",44.800377,10.884255,36,51.5,1025.5,36.0,50.0,,12.5,3.0,4.5,,35.2,33.8,
2020-03-17,23:00:00,"Parco Resistenza, Emilia Romagna, Italy",44.215153,12.04816,63,58.0,1028.3,24.0,63.0,,14.4,1.0,2.0,0.1,20.2,36.2,
2020-03-17,23:00:00,"p.le Rosmini, Trieste, Friuli Venezia Giulia, Italy",45.640486,13.766081,55,8.0,1026.0,18.0,55.0,0.3,22.7,3.0,9.0,,,,
2020-03-17,23:00:00,"Barco Nuova, Emilia Romagna, Italy",44.85998,11.61,82,46.0,1029.3,30.0,82.0,,13.8,1.0,,0.1,26.6,44.3,
2020-03-17,23:00:00,"Malcantone, Emilia Romagna, Italy",44.890934,10.399611,72,67.0,1030.0,30.0,72.0,5.1,13.3,1.0,3.0,,15.6,30.5,
2020-03-17,23:00:00,"San Lazzaro, Emilia Romagna, Italy",44.467189,11.416601,33,59.0,1027.1,33.0,46.0,,12.7,1.0,4.0,0.1,23.8,26.9,
2020-03-17,23:00:00,"Rieti 1, Rieti, Lazio, Italy",42.404509,12.8567281,61,56.0,1023.5,17.0,61.0,0.2,16.9,2.5,6.5,0.1,1.9,22.8,
