local date,local time,location,lat,lon,aqi,h,p,pm10,pm25,so2,t,w,wg,co,no2,o3,dew,r
2020-03-22,23:00:00,"Via Verdi, San Pasquale, Cassino, Frosinone, Lazio, Italia",41.4907889,13.8333776,107,24.0,1026.6,40.0,107.0,0.3,15.0,14.0,21.0,0.1,5.5,19.1,,
2020-03-21,23:00:00,"Passeggiata Michele Alboreto, Villaggio Artigiano, San Faustino-Madonnina-Quattroville, Modena, Emilia-Romagna, 41124, Italia",44.651569,10.907312,61,85.2,1014.6,26.0,61.0,,9.0,5.2,9.0,,14.2,39.0,,
2020-03-21,23:00:00,"22a, Viale Stradone, Borgo Durbecco, Modigliana, Faenza, Unione della Romagna Faentina, Ravenna, Emilia-Romagna, 48018, Italia",44.285612,11.873396,76,61.6,1016.9,30.0,76.0,,12.9,2.6,4.3,,6.0,38.6,,
2020-03-22,23:00:00,"iperoil, Via Cipro, Balduina, Quartiere XIV Trionfale, Roma, Roma Capitale, Lazio, 00165, Italia",41.9071831,12.4466876,76,31.5,1015.0,30.0,76.0,0.3,12.5,10.0,21.1,0.1,6.9,25.6,,
2020-03-21,23:00:00,"Piccoli, Via Paribelli, Sondrio, Comunità Montana della Valtellina di Sondrio, Sondrio, Lombardia, 23100, Italia",46.16785664,9.87921169,50,53.0,1024.7,13.0,50.0,,8.3,4.0,12.0,,6.0,41.1,,
2020-03-21,23:00:00,"Carana, Corte Brugnatella, Piacenza, Emilia-Romagna, Italia",44.734728,9.366928,45,96.5,1014.6,8.0,85.0,,3.8,2.2,4.7,0.1,6.9,44.7,,
2020-03-22,23:00:00,"Ghiaroni, Molinella, Bologna, Emilia-Romagna, 40062, Italia",44.654232025,11.624819756,46,35.7,1029.0,16.0,46.0,,4.3,1.5,,0.1,3.7,32.1,-9.6,
2020-03-23,17:00:00,"Scuola Media Statale Francesco Solimena, Via Francesco Nola, Casale del Pozzo, Nocera Inferiore, Salerno, Campania, 84014, Italia",40.7404,14.64345,3,58.5,1017.6,37.0,63.0,2.9,3.3,15.0,26.5,1.9,2.6,,,
2020-03-21,23:00:00,"Via Antonio Meucci, Loreto, Bergamo, Lombardia, 24128, Italia",45.691044,9.64366225,74,50.6,1027.7,25.0,74.0,,4.4,0.2,,0.1,9.2,45.5,,
2020-03-22,23:00:00,"25/11, Via del Ponticello, Sottoservola, Servola-Chiarbola-Valmaura-Borgo San Sergio, Trieste / Trst, UTI Giuliana / Julijska MTU, Friuli Venezia Giulia, 34146, Italia",45.62062,13.783761,30,14.0,1027.0,9.0,30.0,1.1,8.3,12.0,16.0,,,,,
2020-03-21,23:00:00,"21, Via Quartiere Don Reverberi, Castellarano, Tresinaro - Secchia, Reggio nell'Emilia, Emilia-Romagna, 42014, Italia",44.516242,10.733905,70,85.2,1014.6,23.0,70.0,,9.0,5.2,9.0,,13.8,43.1,,
2020-03-21,23:00:00,"Strada Provinciale 64 Prealpina Orobica, Cassina Valsassina, Lecco, Lombardia, 23817, Italia",45.91279097,9.49754261,55,69.8,1025.1,20.0,55.0,,0.1,2.0,5.1,,4.6,49.6,,
2020-03-22,23:00:00,"Farmacia, 5, Piazza Benedetto Cairoli, Rione VII Regola, Municipio Roma I, Roma, Roma Capitale, Lazio, 00186, Italia",41.8932669,12.4753855,53,31.5,1015.0,35.0,53.0,,12.5,10.0,21.1,,8.3,23.2,,
2020-03-22,23:00:00,"Via Guglielmo Marconi, Sant'Agata, Ferentino, Frosinone, Lazio, 03013, Italia",41.6956788,13.2577285,109,44.1,1006.4,41.0,109.0,0.6,10.5,1.0,5.5,0.1,3.2,29.7,,
2020-03-21,23:00:00,"7, Via Pietro Giordani, Baia del Re, Piacenza, Emilia-Romagna, 29121, Italia",45.04884,9.693265,17,83.0,1013.1,17.0,78.0,,9.4,,,0.1,14.7,36.2,,
2020-03-22,23:00:00,"Giardino Centro Studi, Piazza Maestri del Lavoro, San Giorgio, Rorai Grande, Pordenone, UTI del Noncello, Friuli Venezia Giulia, 33170, Italia",45.962624,12.655944,42,34.5,1029.5,10.0,42.0,,6.5,1.5,5.2,,,,,
2020-03-23,17:00:00,"Via della Salute, Portici, Napoli, Campania, 80055, Italia",40.81588,14.34927,31,45.0,1019.0,23.0,67.0,,7.0,6.6,10.8,,2.5,30.8,-4.0,
2020-03-21,23:00:00,"30/D, Corso Corsica, Lingotto, Torino, Piemonte, 10134, Italia",45.0314278,7.6517438,76,61.2,1022.7,,76.0,,6.9,4.7,15.2,,,,,
2020-03-21,23:00:00,"Via Stefano Molli, Santa Croce di Borgomanero, Borgomanero, Novara, Piemonte, 28013, Italia",45.6989656,8.4606044,61,62.6,1025.0,,61.0,,4.7,1.3,7.1,0.1,,,,
2020-03-21,23:00:00,"Via Libertà, Cornale e Bastida, Pavia, Lombardia, Italia",45.04008561,8.91415717,74,3.0,,,74.0,,10.7,10.7,13.2,0.1,7.8,41.5,,
2020-03-22,23:00:00,"Isidoro e Maria - Pizzeria Friggitoria, Viale Roma, La Pietrara, Le Muratelle, Guidonia Montecelio, Roma Capitale, Lazio, 00010, Italia",41.9939694,12.7245045,78,33.0,1014.6,28.0,78.0,0.4,11.6,,,,6.4,24.8,,
2020-03-21,23:00:00,"Scuola Secondaria di Primo Grado Don G. Ticozzi, 48, Via Mentana, Rancio Inferiore, San Giovanni, Lecco, Lombardia, 23900, Italia",45.86375372,9.39995481,61,69.8,1025.1,20.0,61.0,,0.1,2.0,5.1,,10.1,43.9,,
2020-03-22,23:00:00,"Via Raffaello Gambogi, Ardenza, Montenero basso, Livorno, Toscana, 57128, Italia",43.517506738783,10.321031260215,53,23.0,1023.0,16.0,53.0,,11.0,9.7,15.4,0.1,8.3,28.9,-9.0,
2020-03-21,23:00:00,"Via Canale, Cento, Unione Alto Ferrarese, Ferrara, Emilia-Romagna, 44042, Italia",44.733011,11.299659,42,66.2,1016.7,29.0,93.0,,11.1,10.9,2.0,0.1,13.8,41.5,,
2020-03-22,23:00:00,"Via Giovanni Pascoli, Montelonti, Poggibonsi, Siena, Toscana, 53036, Italia",43.470437486833,11.141284549758,57,59.0,1019.0,17.0,57.0,,4.4,3.0,3.0,,6.0,,,
2020-03-23,17:00:00,"Stadio Ciro Vigorito, Rotonda degli Atleti, Trappeto, Libertà, Benevento, Campania, 82100, Italia",41.11575,14.77998,34,51.3,1020.3,32.0,55.0,,5.9,10.0,21.7,,1.4,34.2,,
2020-03-21,23:00:00,"Ufficio elettorale, Via Elvio Copelli, Motta, Casbeno, Varese, Lombardia, 21100, Italia",45.8169745,8.82024911,76,50.0,1030.9,21.0,76.0,,3.3,7.0,11.0,0.1,22.9,,,
2020-03-21,23:00:00,"Via Malpasso, Caselle, Schivenoglia, Unione dei comuni Isola Mantovana, Mantova, Lombardia, Italia",45.01688067,11.07609728,93,33.0,1027.6,41.0,93.0,2.6,8.8,10.0,20.0,0.1,9.2,49.2,,
2020-03-21,23:00:00,"Bersano, Besenzone, Piacenza, Emilia-Romagna, 43011, Italia",44.9895,10.019201,55,61.5,1016.3,16.0,55.0,5.1,11.6,9.1,15.5,0.1,6.4,38.2,,
2020-03-22,23:00:00,"5, Via Giuseppe Saragat, Vedole, Colorno, Emilia-Romagna, 43052, Italia",44.925963,10.371914,55,87.0,1008.7,11.0,55.0,5.1,7.7,,0.1,,3.7,26.4,,
2020-03-21,23:00:00,"Punta Ravenna, Ravenna, Emilia-Romagna, 48122, Italia",44.443746,12.253247,82,77.3,1019.8,33.0,82.0,5.1,10.9,14.3,18.3,0.1,12.8,29.7,,
2020-03-23,17:00:00,"Via Filippo Brunelleschi, Caserta, Casolla, Caserta, Campania, 81100, Italia",41.08444,14.34472,38,43.6,1012.1,14.0,38.0,,7.4,4.6,,,2.0,36.0,-4.2,
